id,day_reference,category,question_type,prompt,correct_answer,option_b,option_c,helper_text
1,1,Greetings,multiple_choice,"You meet your new boss, Herr Schmidt, in the morning. What do you say?","Guten Morgen, Herr Schmidt.","Hallo, Herr Schmidt.","Tschüss, Herr Schmidt.","Formal greeting for the morning."
2,1,Greetings,multiple_choice,"How do you say 'Bye' to a friend?","Tschüss","Auf Wiedersehen","Guten Tag","Informal farewell."
3,1,Alphabet,fill_in_blank,"How do you pronounce the letter 'J' in German?","yot","jay","yacht","Sounds like 'y' in 'yes'."
4,1,Alphabet,fill_in_blank,"How do you pronounce the letter 'V' in German?","fow","vee","vow","Pronounced like an 'F'."
5,1,Alphabet,fill_in_blank,"How do you pronounce the letter 'W' in German?","vay","double-u","way","Pronounced like a 'V'."
6,1,Greetings,multiple_choice,"What is a common greeting in Southern Germany and Austria?","Grüß Gott","Guten Tag","Hallo","A regional, formal greeting."
7,1,Alphabet,multiple_choice,"Which letter is the 'Eszett' (ß)?","ß","B","ss","Represents a sharp 'ss' sound."
8,1,Greetings,fill_in_blank,"'Auf Wiedersehen' literally means 'Until we ___ again'.","sehen","sprechen","treffen","A formal way to say goodbye."
9,1,Alphabet,multiple_choice,"The German word for 'car' is Auto. How is the 'A' pronounced?","Like 'a' in 'father'","Like 'a' in 'apple'","Like 'a' in 'say'","The 'ah' sound."
10,1,Greetings,multiple_choice,"You are leaving a shop. What is the most appropriate thing to say to the cashier?","Auf Wiedersehen","Tschüss","Ciao","Formal situations call for 'Auf Wiedersehen'."
11,2,Introductions,fill_in_blank,"Ich ___ Anna.","heiße","bin","heißen","Using the verb 'heißen' (to be called)."
12,2,Introductions,multiple_choice,"Wie ___ du?","heißt","heiße","heißen","Correct conjugation for 'du'."
13,2,Pronouns,multiple_choice,"You are talking to a police officer. Which pronoun do you use for 'you'?","Sie","du","ihr","Formal 'you' for people in authority."
14,2,Introductions,build_sentence,"Ich|aus|Kanada|komme","Ich komme aus Kanada.","","","Standard word order."
15,2,Pronouns,fill_in_blank,"___ ist Peter.","Er","Es","Ich","Pronoun for a male person."
16,2,Introductions,multiple_choice,"Woher ___ Sie?","kommen","kommst","kommt","Correct conjugation for formal 'Sie'."
17,2,Pronouns,multiple_choice,"Anna und Maria sind hier. ___ lernen Deutsch.","Sie","Wir","Ihr","Pronoun for 'they'."
18,2,Introductions,fill_in_blank,"Ich wohne ___ Berlin.","in","aus","auf","Preposition for living in a city."
19,2,Pronouns,multiple_choice,"When talking to a group of friends, what is the informal 'you' (plural)?","ihr","du","Sie","Like 'y'all' or 'you guys'."
20,2,Introductions,multiple_choice,"What is a correct response to 'Wie heißt du?'?","Mein Name ist Ben.","Ich Name ist Ben.","Mein heiße Ben.","'My name is...'"
21,3,Numbers,fill_in_blank,"The number 11 is ___.","elf","zehn","eins","One of the unique numbers before 13."
