rule_id;rule_name;rule_category;explanation;simple_summary;level;difficulty;prerequisite_rules;applies_to;exceptions;pattern;memory_aid;cultural_context
G001;Formal & Informal 'You' (Sie/du);Pronouns;German has a formal 'Sie' (for strangers, business, officials) and an informal 'du' (for friends, family, children). 'Sie' is always capitalized and uses the 3rd person plural verb form.;Use 'Sie' for respect with strangers and 'du' with friends.;1;2;;pronouns;;Siezen (using Sie) vs. Duzen (using du);When in doubt, always use 'Sie'. It's better to be too formal than too familiar.;Using 'du' without being invited can be a social faux pas in Germany. The older person or person of higher rank typically offers the 'du'.
G002;Present Tense of 'sein';Verbs;The verb 'sein' (to be) is highly irregular and must be memorized: ich bin, du bist, er/sie/es ist, wir sind, ihr seid, sie/Sie sind.;'sein' (to be) is irregular and essential. Memorize its forms.;2;3;G001;verbs;;ich bin, du bist, er/sie/es ist...;The 's' sound is present in almost all forms (bist, ist, sind, seid).;
G003;Present Tense of 'haben';Verbs;The verb 'haben' (to have) is irregular in the 2nd and 3rd person singular: ich habe, du hast, er/sie/es hat, wir haben, ihr habt, sie/Sie haben.;'haben' (to have) is irregular for 'du' and 'er/sie/es'. Memorize `du hast` and `er hat`.;2;3;G001;verbs;;ich habe, du hast, er/sie/es hat...;Think of 'haben' as having the regular '-st' and '-t' endings, but the 'b' gets dropped: `habst` -> `hast`, `habt` -> `hat`.;
G004;Noun Genders & Definite Articles;Nouns;Every German noun has a grammatical gender: Masculine (der), Feminine (die), or Neuter (das). This must be learned with the noun.;All nouns have a gender shown by their article: der, die, or das.;3;2;;nouns;;der Tisch, die Lampe, das Buch;Color-code your nouns when you learn them: der=blue, die=red, das=green.;The grammatical gender often has no connection to the real-world gender of the object.
G005;The Nominative Case;Cases;The Nominative case is for the **subject** of the sentence – the person or thing performing the action. It answers the question 'Wer/Was?' (Who/What?).;The Nominative case is for the subject of the sentence.;3;2;G004;nouns, pronouns;;**Der Mann** liest. (Who reads? The man.);'N' for Nominative and 'N' for 'Numero Uno'—the subject is #1.;
G006;Regular Verb Conjugation (Present Tense);Verbs;To conjugate a regular verb, drop the '-en' ending to find the stem, then add the personal ending: ich-e, du-st, er/sie/es-t, wir-en, ihr-t, sie/Sie-en.;Drop '-en' and add the right ending for the subject (e, st, t, en, t, en).;4;2;G001;verbs;Stems ending in -d/-t (arbeiten) or -m/-n (atmen) add an extra 'e' before -st and -t endings.;lernen -> ich lerne, du lernst...;Chant the endings like a rhythm: E-ST-T-EN-T-EN.;This pattern is the backbone of over 90% of German verbs.
G007;The V2 Rule (Verb Second);Word Order;In a standard German declarative sentence, the conjugated verb is ALWAYS the second element or 'idea'. The element in the first position can change for emphasis.;The conjugated verb is always the second piece of information in a sentence.;5;3;G006;all;Does not apply to yes/no questions or dependent clauses.;Position 1 | **Verb (Pos 2)** | Rest of sentence.;Think of the verb as the fixed pivot or anchor in position 2. Everything else can move around it.;This is the single most important rule in German syntax. Mastering it makes sentences sound natural.
G008;Inversion after Position 1 Element;Word Order;If an element other than the subject is in Position 1 (e.g., a time or place adverb), the subject must move to Position 3, immediately after the verb.;If the subject is not first, it moves to right after the verb.;5;3;G007;all;;Heute (1) **gehe** (2) ich (3) ins Kino.;The verb holds Position 2 so strongly, it forces the subject to move out of its way.;This creates emphasis on the element in the first position.
G009;The Accusative Case;Cases;The Accusative case is for the **direct object** – the noun directly receiving the action. It answers the question 'Wen/Was?' (Whom/What?).;The Accusative is for the direct object.;6;3;G005;nouns, pronouns;;Ich sehe den Mann. (Whom do I see? The man.);The direct object is the 'victim' of the verb's action.;
G010;Accusative Declension;Cases;In the Accusative case, only the masculine articles change: der -> den, ein -> einen, kein -> keinen, mein -> meinen, etc. Feminine, Neuter, and Plural articles do not change from their Nominative forms.;Only masculine articles change in the Accusative: der -> den.;6;3;G009;nouns, pronouns;;Ich habe **einen** Stuhl (m). vs. Ich habe **eine** Lampe (f).;Remember the 'N' for accusative: only the masculine article gets an 'N' at the end of 'de**n**'.;This is the most common case change you will encounter daily.
