noun_id;german_noun;article;plural_form;english_translation;pronunciation_ipa;example_de;example_en;category;subcategory;tags;frequency;level;difficulty;article_pattern;declension_nom;declension_acc;declension_dat;declension_gen;cultural_note
N001;Zeit;die;Zeiten;time;[tsaɪ̯t];Ich habe keine Zeit.;I have no time.;Abstract;Time;common,daily,essential;100;2;1;Feminine;die Zeit;die Zeit;der Zeit;der Zeit;
N002;Mann;der;Männer;man, husband;[man];Der Mann liest ein Buch.;The man is reading a book.;People;Gender;common,daily;99;3;1;Masculine;der Mann;den Mann;dem Mann;des Mannes;
N003;Frau;die;Frauen;woman, wife, Mrs.;[fʁaʊ̯];Die Frau trinkt Kaffee.;The woman is drinking coffee.;People;Gender;common,daily,title;99;3;1;Feminine;die Frau;die Frau;der Frau;der Frau;Also used as the formal title 'Mrs.' or 'Ms.'
N004;Kind;das;Kinder;child;[kɪnt];Das Kind spielt im Garten.;The child is playing in the garden.;People;Age;common,daily,family;98;4;1;Neuter;das Kind;das Kind;dem Kind;des Kindes;
N005;Tag;der;Tage;day;[taːk];Heute ist ein schöner Tag.;Today is a beautiful day.;Time;Calendar;common,daily;98;1;1;Masculine;der Tag;den Tag;dem Tag;des Tages;
N006;Hand;die;Hände;hand;[hant];Er gibt mir die Hand.;He gives me his hand.;Body;Limbs;common,daily;97;10;2;Feminine;die Hand;die Hand;der Hand;der Hand;
N007;Auge;das;Augen;eye;[ˈaʊ̯ɡə];Sie hat blaue Augen.;She has blue eyes.;Body;Face;common,daily;97;11;1;Neuter;das Auge;das Auge;dem Auge;des Auges;
N008;Jahr;das;Jahre;year;[jaːɐ̯];Das Jahr hat 12 Monate.;The year has 12 months.;Time;Calendar;common,daily;96;8;1;Neuter;das Jahr;das Jahr;dem Jahr;des Jahres;
N009;Weg;der;Wege;way, path;[veːk];Ich zeige dir den Weg.;I'll show you the way.;Places;Movement;common,abstract;95;18;1;Masculine;der Weg;den Weg;dem Weg;des Weges;
N010;Frage;die;Fragen;question;[ˈfʁaːɡə];Ich habe eine Frage.;I have a question.;Communication;Language;common,learning;95;7;1;Feminine;die Frage;die Frage;der Frage;der Frage;
N011;Haus;das;Häuser;house;[haʊ̯s];Wir wohnen in einem Haus.;We live in a house.;Places;Buildings;common,home,daily;94;5;2;Neuter;das Haus;das Haus;dem Haus;des Hauses;
N012;Fall;der;Fälle;case, instance;[fal];Das ist ein Notfall.;This is an emergency.;Abstract;Situation;common;94;25;2;Masculine;der Fall;den Fall;dem Fall;des Falles;
N013;Leute;die;(no singular);people;[ˈlɔɪ̯tə];Die Leute hier sind nett.;The people here are nice.;People;Group;common,daily;93;12;2;Plural only;die Leute;die Leute;den Leuten;der Leute;Always used in the plural form.
N014;Name;der;Namen;name;[ˈnaːmə];Mein Name ist Julia.;My name is Julia.;Communication;Identity;common,introduction;93;1;3;Masculine;der Name;den Namen;dem Namen;des Namens;An n-declension noun, taking an -n/-en ending in all cases except nominative singular.
N015;Wasser;das;(no plural);water;[ˈvasɐ];Ich trinke ein Glas Wasser.;I'm drinking a glass of water.;Food & Drink;Beverages;common,daily,essential;92;6;1;Neuter;das Wasser;das Wasser;dem Wasser;des Wassers;Plural 'Wässer' exists but is rare; typically uncountable.
N016;Woche;die;Wochen;week;[ˈvɔxə];Die Woche hat sieben Tage.;The week has seven days.;Time;Calendar;common,daily;92;8;1;Feminine;die Woche;die Woche;der Woche;der Woche;
N017;Land;das;Länder;country, land;[lant];Deutschland ist ein schönes Land.;Germany is a beautiful country.;Places;Geography;common,travel;91;10;2;Neuter;das Land;das Land;dem Land;des Landes;
N018;Welt;die;Welten;world;[vɛlt];Die Welt ist groß.;The world is big.;Places;Geography;common,abstract;91;20;1;Feminine;die Welt;die Welt;der Welt;der Welt;
N019;Schule;die;Schulen;school;[ˈʃuːlə];Meine Kinder gehen in die Schule.;My children go to school.;Places;Education;common,learning;90;9;1;Feminine;die Schule;die Schule;der Schule;der Schule;
N020;Freund;der;Freunde;friend (male);[fʁɔɪ̯nt];Er ist mein bester Freund.;He is my best friend.;People;Relationships;common,daily,family;90;11;1;Masculine;der Freund;den Freund;dem Freund;des Freundes;
N021;Kopf;der;Köpfe;head;[kɔp͡f];Mein Kopf tut weh.;My head hurts.;Body;Face;common,daily;89;12;2;Masculine;der Kopf;den Kopf;dem Kopf;des Kopfes;
N022;Uhr;die;Uhren;o'clock, clock;[uːɐ̯];Es ist drei Uhr.;It is three o'clock.;Time;Measurement;common,daily;89;10;1;Feminine;die Uhr;die Uhr;der Uhr;der Uhr;Used for telling time and for the physical object.
N023;Problem;das;Probleme;problem;[pʁoˈbleːm];Das ist kein Problem.;That is not a problem.;Abstract;Situation;common,daily;88;15;1;Neuter;das Problem;das Problem;dem Problem;des Problems;
N024;Stadt;die;Städte;city, town;[ʃtat];München ist eine große Stadt.;Munich is a big city.;Places;Geography;common,travel;88;7;2;Feminine;die Stadt;die Stadt;der Stadt;der Stadt;
N025;Arbeit;die;Arbeiten;work, job;[ˈaʁbaɪ̯t];Ich fahre zur Arbeit.;I am driving to work.;Work & Study;Career;common,daily;87;16;1;Feminine;die Arbeit;die Arbeit;der Arbeit;der Arbeit;
N026;Leben;das;Leben;life;[ˈleːbən];Das Leben ist schön.;Life is beautiful.;Abstract;Concepts;common;87;14;1;Neuter;das Leben;das Leben;dem Leben;des Lebens;
N027;Auto;das;Autos;car;[ˈaʊ̯to];Ich fahre mit dem Auto.;I'm going by car.;Transport;Vehicles;common,daily;86;6;1;Neuter;das Auto;das Auto;dem Auto;des Autos;
N028;Stunde;die;Stunden;hour;[ˈʃtʊndə];Ich warte seit einer Stunde.;I have been waiting for an hour.;Time;Measurement;common,daily;86;10;1;Feminine;die Stunde;die Stunde;der Stunde;der Stunde;
N029;Tür;die;Türen;door;[tyːɐ̯];Bitte schließe die Tür.;Please close the door.;Home;Objects;common,daily;85;5;1;Feminine;die Tür;die Tür;der Tür;der Tür;
N030;Geld;das;Gelder;money;[ɡɛlt];Ich brauche mehr Geld.;I need more money.;Objects;Finance;common,daily,essential;85;9;2;Neuter;das Geld;das Geld;dem Geld;des Geldes;
N031;Buch;das;Bücher;book;[buːx];Ich lese ein interessantes Buch.;I am reading an interesting book.;Work & Study;Media;common,leisure;84;8;2;Neuter;das Buch;das Buch;dem Buch;des Buches;
N032;Vater;der;Väter;father;[ˈfaːtɐ];Mein Vater ist Arzt.;My father is a doctor.;People;Family;common,family;84;4;2;Masculine;der Vater;den Vater;dem Vater;des Vaters;
N033;Mutter;die;Mütter;mother;[ˈmʊtɐ];Meine Mutter kocht gern.;My mother likes to cook.;People;Family;common,family;84;4;2;Feminine;die Mutter;die Mutter;der Mutter;der Mutter;
N034;Nacht;die;Nächte;night;[naxt];Gute Nacht!;Good night!;Time;Periods;common,daily;83;1;2;Feminine;die Nacht;die Nacht;der Nacht;der Nacht;
N035;Tisch;der;Tische;table;[tɪʃ];Der Tisch ist aus Holz.;The table is made of wood.;Home;Furniture;common,home;83;5;1;Masculine;der Tisch;den Tisch;dem Tisch;des Tisches;
N036;Wort;das;Wörter/Worte;word;[vɔʁt];Das ist ein deutsches Wort.;That is a German word.;Communication;Language;common,learning;82;2;2;Neuter;das Wort;das Wort;dem Wort;des Wortes;Wörter for individual words, Worte for connected speech/discourse.
N037;Zimmer;das;Zimmer;room;[ˈt͡sɪmɐ];Mein Zimmer ist klein.;My room is small.;Home;Rooms;common,home;82;5;1;Neuter;das Zimmer;das Zimmer;dem Zimmer;des Zimmers;
